"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"277","query_1","TRUE","3.17476765546709e-15","297","394","47","0.119289340101523","0.158249158249158","REAC:R-HSA-1474244","REAC","Extracellular matrix organization","10842","858","REAC:0000000"
"278","query_1","TRUE","1.27597113550507e-13","60","103","14","0.135922330097087","0.233333333333333","REAC:R-HSA-2022090","REAC","Assembly of collagen fibrils and other multimeric structures","10842","172","REAC:R-HSA-1474290"
"279","query_1","TRUE","4.48774168527689e-11","89","103","14","0.135922330097087","0.157303370786517","REAC:R-HSA-1474290","REAC","Collagen formation","10842","374","REAC:R-HSA-1474244"
"280","query_1","TRUE","7.51623216221312e-09","140","134","16","0.119402985074627","0.114285714285714","REAC:R-HSA-1474228","REAC","Degradation of the extracellular matrix","10842","703","REAC:R-HSA-1474244"
"281","query_1","TRUE","1.59000867478228e-08","58","417","17","0.0407673860911271","0.293103448275862","REAC:R-HSA-3000171","REAC","Non-integrin membrane-ECM interactions","10842","1555","REAC:R-HSA-1474244"
"282","query_1","TRUE","1.60545924397502e-08","84","463","21","0.0453563714902808","0.25","REAC:R-HSA-216083","REAC","Integrin cell surface interactions","10842","1182","REAC:R-HSA-1474244"
"283","query_1","TRUE","2.46237046405161e-08","44","86","9","0.104651162790698","0.204545454545455","REAC:R-HSA-8948216","REAC","Collagen chain trimerization","10842","372","REAC:R-HSA-1650814"
"284","query_1","TRUE","2.85457955993576e-08","26","417","12","0.0287769784172662","0.461538461538462","REAC:R-HSA-3000170","REAC","Syndecan interactions","10842","2295","REAC:R-HSA-3000171"
"285","query_1","TRUE","5.32082819712817e-08","67","86","10","0.116279069767442","0.149253731343284","REAC:R-HSA-1650814","REAC","Collagen biosynthesis and modifying enzymes","10842","371","REAC:R-HSA-1474290"
"286","query_1","TRUE","5.81676786592721e-08","18","97","7","0.0721649484536082","0.388888888888889","REAC:R-HSA-2243919","REAC","Crosslinking of collagen fibrils","10842","403","REAC:R-HSA-2022090"
"287","query_1","TRUE","6.54963957406509e-08","43","312","13","0.0416666666666667","0.302325581395349","REAC:R-HSA-1566948","REAC","Elastic fibre formation","10842","809","REAC:R-HSA-1474244"
"288","query_1","TRUE","8.24383611589729e-08","75","455","19","0.0417582417582418","0.253333333333333","REAC:R-HSA-3000178","REAC","ECM proteoglycans","10842","785","REAC:R-HSA-1474244"
"289","query_1","TRUE","8.41273573371827e-07","64","86","9","0.104651162790698","0.140625","REAC:R-HSA-1442490","REAC","Collagen degradation","10842","373","REAC:R-HSA-1474228"
"290","query_1","TRUE","1.08568454539057e-06","107","404","20","0.0495049504950495","0.186915887850467","REAC:R-HSA-8957275","REAC","Post-translational protein phosphorylation","10842","1727","REAC:R-HSA-597592"
