"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"127","query_1","TRUE","1.62879971748476e-10","1548","1723","210","0.12188044109112","0.135658914728682","GO:0051707","GO:BP","response to other organism","21031","14359","c(""GO:0043207"", ""GO:0044419"")"
"128","query_1","TRUE","1.82823577219087e-10","105","784","25","0.0318877551020408","0.238095238095238","GO:0042100","GO:BP","B cell proliferation","21031","10311","c(""GO:0042113"", ""GO:0046651"")"
"129","query_1","TRUE","1.87443803812141e-10","332","2034","78","0.0383480825958702","0.234939759036145","GO:1901990","GO:BP","regulation of mitotic cell cycle phase transition","21031","22459","c(""GO:0007346"", ""GO:0044772"", ""GO:1901987"")"
"130","query_1","TRUE","1.98329187290536e-10","1551","1723","210","0.12188044109112","0.135396518375242","GO:0043207","GO:BP","response to external biotic stimulus","21031","10929","c(""GO:0009605"", ""GO:0009607"")"
"131","query_1","TRUE","2.09724546831582e-10","437","1942","91","0.0468589083419155","0.208237986270023","GO:0030099","GO:BP","myeloid cell differentiation","21031","6914","c(""GO:0030097"", ""GO:0030154"")"
"132","query_1","TRUE","2.45786035082561e-10","5874","1871","662","0.353821485836451","0.112700034048349","GO:0048519","GO:BP","negative regulation of biological process","21031","13227","c(""GO:0008150"", ""GO:0050789"")"
"133","query_1","TRUE","2.46686826591915e-10","1586","1741","215","0.123492245835727","0.135561160151324","GO:0009607","GO:BP","response to biotic stimulus","21031","3572","GO:0050896"
"134","query_1","TRUE","2.64869463428062e-10","447","2034","95","0.0467059980334317","0.212527964205817","GO:0000280","GO:BP","nuclear division","21031","79","GO:0048285"
"135","query_1","TRUE","2.84335444546063e-10","241","1657","56","0.0337960168980085","0.232365145228216","GO:0032944","GO:BP","regulation of mononuclear cell proliferation","21031","8209","c(""GO:0032943"", ""GO:0070663"")"
"136","query_1","TRUE","5.43674663708017e-10","266","1657","59","0.0356065178032589","0.221804511278195","GO:0070663","GO:BP","regulation of leukocyte proliferation","21031","16740","c(""GO:0042127"", ""GO:0070661"")"
"137","query_1","TRUE","5.4556256425147e-10","5541","1959","654","0.333843797856049","0.118029236599892","GO:0048523","GO:BP","negative regulation of cellular process","21031","13231","c(""GO:0009987"", ""GO:0048519"", ""GO:0050794"")"
"138","query_1","TRUE","5.60460465992081e-10","234","1271","47","0.036978756884343","0.200854700854701","GO:0006909","GO:BP","phagocytosis","21031","2588","GO:0006897"
"139","query_1","TRUE","6.04756352725829e-10","656","2022","123","0.0608308605341246","0.1875","GO:0051301","GO:BP","cell division","21031","14080","GO:0009987"
"140","query_1","TRUE","7.78918384368435e-10","1179","1418","146","0.10296191819464","0.123833757421544","GO:1901701","GO:BP","cellular response to oxygen-containing compound","21031","22188","c(""GO:0070887"", ""GO:1901700"")"
"141","query_1","TRUE","7.95669192632732e-10","112","1726","36","0.0208574739281576","0.321428571428571","GO:0002444","GO:BP","myeloid leukocyte mediated immunity","21031","974","GO:0002443"
