"","logFC","logCPM","F","PValue","FDR","class","ensembl_id"
"ENSG00000100034",1.76109095309466,6.81918871521226,187.133735395891,2.07340136672137e-38,1.12901620371702e-37,"+","ENSG00000100034"
"ENSG00000118579",1.76100218157046,7.33116989137505,1019.64759333952,1.23800968632411e-144,2.11373864338707e-142,"+","ENSG00000118579"
"ENSG00000171940",1.76097838911248,7.68520412222105,199.172937250349,1.59420477213501e-40,9.37733505132545e-40,"+","ENSG00000171940"
"ENSG00000152217",1.75801321902779,6.17448114098792,56.8407532407139,1.28982799304914e-13,2.75050255346025e-13,"+","ENSG00000152217"
"ENSG00000138180",1.75724602566756,4.82920483720784,92.9591886706736,7.02461631555752e-21,1.97682544590489e-20,"+","ENSG00000138180"
"ENSG00000149970",1.75690591993342,3.52441530300373,51.0419727009319,2.04560213232506e-12,4.14163415026525e-12,"+","ENSG00000149970"
"ENSG00000245532",1.75684500590764,10.0914904026488,110.120574940657,3.23604960467635e-24,1.03553587349643e-23,"+","ENSG00000245532"
"ENSG00000146005",1.75570447915345,1.50521279053517,28.0649807619969,1.5199870169596e-07,2.46974098823789e-07,"+","ENSG00000146005"
"ENSG00000165879",1.75483752291334,4.22278198771155,145.341094628922,7.38965440070338e-31,3.0586333493948e-30,"+","ENSG00000165879"
"ENSG00000054967",1.75291679507483,6.21106809038083,186.970788304506,2.21554050356971e-38,1.20540266558996e-37,"+","ENSG00000054967"
"ENSG00000203326",1.75227707534923,5.53282417276465,441.1480679568,2.94575787105034e-78,6.19516274469192e-77,"+","ENSG00000203326"
"ENSG00000176927",1.75155209601532,2.23715221572173,173.309065565245,5.99028768218157e-36,2.97587951623231e-35,"+","ENSG00000176927"
"ENSG00000233016",1.74975638875867,6.93278871470804,212.685731379496,7.25510733664035e-43,4.58783005849148e-42,"+","ENSG00000233016"
"ENSG00000176714",1.74954753306237,2.05837134281918,154.967378703346,1.25538641630718e-32,5.54832906607696e-32,"+","ENSG00000176714"
"ENSG00000115165",1.74682045041821,7.24097203376282,91.6663953244081,1.2612792668764e-20,3.51662221035414e-20,"+","ENSG00000115165"
"ENSG00000129675",1.74636418690853,8.05897687651326,312.411903739836,3.20814119401908e-59,3.56106416882734e-58,"+","ENSG00000129675"
"ENSG00000177076",1.74585995138594,1.58793662745157,210.829733966907,1.51494731092154e-42,9.4920117366093e-42,"+","ENSG00000177076"
"ENSG00000138336",1.74462010651729,4.30565109084074,63.1531609262522,6.53750643856118e-15,1.46461815515832e-14,"+","ENSG00000138336"
"ENSG00000177853",1.74395877694792,6.64776667368236,148.48877009223,1.94016985681664e-31,8.21123420158277e-31,"+","ENSG00000177853"
"ENSG00000115306",1.74220127340787,10.8829626466176,219.055214085643,5.85945103484808e-44,3.86932501924624e-43,"+","ENSG00000115306"
"ENSG00000135486",1.74004399518404,11.0563546361678,364.105994306301,4.04162031765693e-67,5.89921993722343e-66,"+","ENSG00000135486"
"ENSG00000256771",1.73929161847776,4.79754052214625,191.905861398909,2.98890917817931e-39,1.67389233906149e-38,"+","ENSG00000256771"
"ENSG00000175567",1.73772433746692,6.13707679966072,112.597426940305,1.08165481047555e-24,3.52740709241789e-24,"+","ENSG00000175567"
"ENSG00000171456",1.73512086778194,7.91312854176984,167.508942926574,6.61692556732418e-35,3.16247610171634e-34,"+","ENSG00000171456"
"ENSG00000196689",1.73402944194377,2.80250815159845,136.802994981138,2.84631472465671e-29,1.11012262900948e-28,"+","ENSG00000196689"
"ENSG00000100368",1.73351822007467,5.45236643306816,77.3824178443019,8.64979795273991e-18,2.1718223342638e-17,"+","ENSG00000100368"
